list_id,current_title,idea_list_url,include_in_meta,action
1LFWTJH9UBPKU,BEDDING. PILLOWS. THROWS. TOWELS. 97 Items,https://www.amazon.com/shop/thehillarystyle/list/1LFWTJH9UBPKU,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1LKQL9NF315YS,See all,https://www.amazon.com/shop/thehillarystyle/list/1LKQL9NF315YS,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1LVS8EBYWIS2J,See all,https://www.amazon.com/shop/thehillarystyle/list/1LVS8EBYWIS2J,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1MB9961G83COM,See all,https://www.amazon.com/shop/thehillarystyle/list/1MB9961G83COM,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1MKYF1CAY9E8G,See all,https://www.amazon.com/shop/thehillarystyle/list/1MKYF1CAY9E8G,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1NFO0QLH5HS6Y,See all,https://www.amazon.com/shop/thehillarystyle/list/1NFO0QLH5HS6Y,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1NR6N43OIR93A,UNBOXING 32 Items,https://www.amazon.com/shop/thehillarystyle/list/1NR6N43OIR93A,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1NSB6B4CK6NM1,See all,https://www.amazon.com/shop/thehillarystyle/list/1NSB6B4CK6NM1,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1OH1TVBZ3L337,LAST MINUTE GIFTS 192 Items,https://www.amazon.com/shop/thehillarystyle/list/1OH1TVBZ3L337,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1Q6KH53S4CVWD,See all,https://www.amazon.com/shop/thehillarystyle/list/1Q6KH53S4CVWD,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1QMBJFJU34FUR,See all,https://www.amazon.com/shop/thehillarystyle/list/1QMBJFJU34FUR,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1QMQ9WWH79VRL,See all,https://www.amazon.com/shop/thehillarystyle/list/1QMQ9WWH79VRL,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1R4YIGU257W50,See all,https://www.amazon.com/shop/thehillarystyle/list/1R4YIGU257W50,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1RA73GK94YR1G,Our REMODEL HOME 99 Items,https://www.amazon.com/shop/thehillarystyle/list/1RA73GK94YR1G,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1UGCFJJRVROLC,See all,https://www.amazon.com/shop/thehillarystyle/list/1UGCFJJRVROLC,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1XPGUL8BC81KW,See all,https://www.amazon.com/shop/thehillarystyle/list/1XPGUL8BC81KW,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
1YYODGJOLLLRT,BARCART 26 Items,https://www.amazon.com/shop/thehillarystyle/list/1YYODGJOLLLRT,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
20274194WU668,See all,https://www.amazon.com/shop/thehillarystyle/list/20274194WU668,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
202RY6J21JOG9,See all,https://www.amazon.com/shop/thehillarystyle/list/202RY6J21JOG9,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
21CU9PVXLTL6P,See all,https://www.amazon.com/shop/thehillarystyle/list/21CU9PVXLTL6P,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
21IKKXKZPGWVW,OUR Rental 7 Items,https://www.amazon.com/shop/thehillarystyle/list/21IKKXKZPGWVW,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
21MLRQOMMKCFI,LUXE Holiday Home 58 Items,https://www.amazon.com/shop/thehillarystyle/list/21MLRQOMMKCFI,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
21T7CCUQI2DH5,ELEVATED Bathroom Must-Haves 31 Items,https://www.amazon.com/shop/thehillarystyle/list/21T7CCUQI2DH5,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
222ENLE1WDY2M,See all,https://www.amazon.com/shop/thehillarystyle/list/222ENLE1WDY2M,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
22L0SLOF07ITQ,For the Big Kids 38 Items,https://www.amazon.com/shop/thehillarystyle/list/22L0SLOF07ITQ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
23YO2PO28IXV,MUST-HAVE HOSTING 14 Items,https://www.amazon.com/shop/thehillarystyle/list/23YO2PO28IXV,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
24ASC2W86JF33,See all,https://www.amazon.com/shop/thehillarystyle/list/24ASC2W86JF33,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
26IY6FNENQC7M,FOR HIM - GIFT GUIDE 291 Items,https://www.amazon.com/shop/thehillarystyle/list/26IY6FNENQC7M,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
270Y6RLSPP10V,Outdoor PLANTERS 45 Items,https://www.amazon.com/shop/thehillarystyle/list/270Y6RLSPP10V,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
27L1ENCS6OMON,See all,https://www.amazon.com/shop/thehillarystyle/list/27L1ENCS6OMON,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
27VCDHN1568QK,See all,https://www.amazon.com/shop/thehillarystyle/list/27VCDHN1568QK,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
286Q78OJSYZO8,See all,https://www.amazon.com/shop/thehillarystyle/list/286Q78OJSYZO8,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
28Z72BVY6B71P,See all,https://www.amazon.com/shop/thehillarystyle/list/28Z72BVY6B71P,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2969EJ7F6BLI8,See all,https://www.amazon.com/shop/thehillarystyle/list/2969EJ7F6BLI8,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
29FTLXCTPVP41,See all,https://www.amazon.com/shop/thehillarystyle/list/29FTLXCTPVP41,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2ABZ85AO7D848,Furniture Mover REEL 7 Items,https://www.amazon.com/shop/thehillarystyle/list/2ABZ85AO7D848,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2B46UO4I7XY3G,See all,https://www.amazon.com/shop/thehillarystyle/list/2B46UO4I7XY3G,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2C66SA5TXKNJK,For the Hostess - GIFT GUIDE 86 Items,https://www.amazon.com/shop/thehillarystyle/list/2C66SA5TXKNJK,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2DHFOQ3A1Q5U2,See all,https://www.amazon.com/shop/thehillarystyle/list/2DHFOQ3A1Q5U2,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2EHNEZELPW5NA,See all,https://www.amazon.com/shop/thehillarystyle/list/2EHNEZELPW5NA,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2GHS9RLET14RQ,ENTERTAINING Essentials 85 Items,https://www.amazon.com/shop/thehillarystyle/list/2GHS9RLET14RQ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2HG2TBY26H9IW,See all,https://www.amazon.com/shop/thehillarystyle/list/2HG2TBY26H9IW,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2I5A3XFI29113,See all,https://www.amazon.com/shop/thehillarystyle/list/2I5A3XFI29113,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2KYYGUEXPAOKJ,See all,https://www.amazon.com/shop/thehillarystyle/list/2KYYGUEXPAOKJ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2N8O18PX5PHA3,See all,https://www.amazon.com/shop/thehillarystyle/list/2N8O18PX5PHA3,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2NDA05KNMQH4,See all,https://www.amazon.com/shop/thehillarystyle/list/2NDA05KNMQH4,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2OL0SY0HD6BBS,See all,https://www.amazon.com/shop/thehillarystyle/list/2OL0SY0HD6BBS,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2P1RVZSE8RCAZ,NO DRILL Home Improvement 22 Items,https://www.amazon.com/shop/thehillarystyle/list/2P1RVZSE8RCAZ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2PQNIB7PVLPT1,DECEMBER Best Sellers 376 Items,https://www.amazon.com/shop/thehillarystyle/list/2PQNIB7PVLPT1,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2Q8H0EUR30UN9,CABINETS. SIDEBOARDS. BUFFETS. CONSOLES. 375 Items,https://www.amazon.com/shop/thehillarystyle/list/2Q8H0EUR30UN9,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2RA331651DDK8,See all,https://www.amazon.com/shop/thehillarystyle/list/2RA331651DDK8,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2RDBP13815B8R,See all,https://www.amazon.com/shop/thehillarystyle/list/2RDBP13815B8R,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2V2HL7TFY8QE8,The Hillary Style Holiday 115 Items,https://www.amazon.com/shop/thehillarystyle/list/2V2HL7TFY8QE8,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2V4ZM0XXYOP34,See all,https://www.amazon.com/shop/thehillarystyle/list/2V4ZM0XXYOP34,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2V9Q1BLJC4BNW,FURNITURE In Our Home 15 Items,https://www.amazon.com/shop/thehillarystyle/list/2V9Q1BLJC4BNW,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2WRZJHHWAS214,FAUX & DRIED FLORALS 38 Items,https://www.amazon.com/shop/thehillarystyle/list/2WRZJHHWAS214,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2YQAXQUJ2H8KY,See all,https://www.amazon.com/shop/thehillarystyle/list/2YQAXQUJ2H8KY,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
2Z5U0A9S9OXF9,See all,https://www.amazon.com/shop/thehillarystyle/list/2Z5U0A9S9OXF9,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
30ZOK8YSQFY5N,GIFTS UNDER $50 104 Items,https://www.amazon.com/shop/thehillarystyle/list/30ZOK8YSQFY5N,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
311VGYMV97O78,POWDER BATH 8 Items,https://www.amazon.com/shop/thehillarystyle/list/311VGYMV97O78,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
31KXTI157WXNV,HOME OFFICE Essentials 18 Items,https://www.amazon.com/shop/thehillarystyle/list/31KXTI157WXNV,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
31LARMS9JHPGT,ATHEISURE 50 Items,https://www.amazon.com/shop/thehillarystyle/list/31LARMS9JHPGT,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
31R6EZ6S1ERJH,FRONT PORCH 13 Items,https://www.amazon.com/shop/thehillarystyle/list/31R6EZ6S1ERJH,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
32JT2D5T30E4J,BURGUNDY CRUSH 50 Items,https://www.amazon.com/shop/thehillarystyle/list/32JT2D5T30E4J,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
32M44I5BF0O0R,See all,https://www.amazon.com/shop/thehillarystyle/list/32M44I5BF0O0R,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
32NJAOW4JT5JB,See all,https://www.amazon.com/shop/thehillarystyle/list/32NJAOW4JT5JB,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
34RHZWFKXT7UT,See all,https://www.amazon.com/shop/thehillarystyle/list/34RHZWFKXT7UT,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
34VIWGR89GOO8,See all,https://www.amazon.com/shop/thehillarystyle/list/34VIWGR89GOO8,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
370XLUWUIJAX1,See all,https://www.amazon.com/shop/thehillarystyle/list/370XLUWUIJAX1,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
395N3QLHWD5V7,See all,https://www.amazon.com/shop/thehillarystyle/list/395N3QLHWD5V7,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
39AL8K1TZE306,See all,https://www.amazon.com/shop/thehillarystyle/list/39AL8K1TZE306,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3BMD6XLV7JIPG,See all,https://www.amazon.com/shop/thehillarystyle/list/3BMD6XLV7JIPG,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3BNM8CSCBJ7VF,Your Currently MOST-LOVED 43 Items,https://www.amazon.com/shop/thehillarystyle/list/3BNM8CSCBJ7VF,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3CQZYKSH60HA3,See all,https://www.amazon.com/shop/thehillarystyle/list/3CQZYKSH60HA3,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3DS692CRM1BGS,BEST SELLERS 265 Items,https://www.amazon.com/shop/thehillarystyle/list/3DS692CRM1BGS,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3H3WH72KSZXK3,See all,https://www.amazon.com/shop/thehillarystyle/list/3H3WH72KSZXK3,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3HBHLKKIJRXAQ,See all,https://www.amazon.com/shop/thehillarystyle/list/3HBHLKKIJRXAQ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3ITM4V91K4422,See all,https://www.amazon.com/shop/thehillarystyle/list/3ITM4V91K4422,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3JCDIMAGNYZ0E,See all,https://www.amazon.com/shop/thehillarystyle/list/3JCDIMAGNYZ0E,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3KKGHGSJ1ZRYC,LUXURY GIFTS 108 Items,https://www.amazon.com/shop/thehillarystyle/list/3KKGHGSJ1ZRYC,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3LEWC1H0K68XB,See all,https://www.amazon.com/shop/thehillarystyle/list/3LEWC1H0K68XB,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3MJSZFZU5658,BEDDING: LUXURY finds in Our Home 64 Items,https://www.amazon.com/shop/thehillarystyle/list/3MJSZFZU5658,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3QCVRRMTI2TTQ,VIRAL Holiday Finds 113 Items,https://www.amazon.com/shop/thehillarystyle/list/3QCVRRMTI2TTQ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3R1F2KZC9BJXJ,See all,https://www.amazon.com/shop/thehillarystyle/list/3R1F2KZC9BJXJ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3RKTIOM3H9T72,See all,https://www.amazon.com/shop/thehillarystyle/list/3RKTIOM3H9T72,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3RT5O1LPLW4HX,2025 TOP SELLERS 61 Items,https://www.amazon.com/shop/thehillarystyle/list/3RT5O1LPLW4HX,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3TE1WGJI4HUK8,CAR ORGANIZATION 68 Items,https://www.amazon.com/shop/thehillarystyle/list/3TE1WGJI4HUK8,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3U58T22AIU7ZR,HOLIDAY MUST-HAVES on AMAZON LIVE 38 Items,https://www.amazon.com/shop/thehillarystyle/list/3U58T22AIU7ZR,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3U9GRAHOG87DY,SHATTERPROOF Beverage Glasses 7 Items,https://www.amazon.com/shop/thehillarystyle/list/3U9GRAHOG87DY,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3UQI8VF6F9P66,JUST IN - Organizing & Home 208 Items,https://www.amazon.com/shop/thehillarystyle/list/3UQI8VF6F9P66,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3VBGW6RI08DIE,See all,https://www.amazon.com/shop/thehillarystyle/list/3VBGW6RI08DIE,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
3VW7VU2STCZ6B,See all,https://www.amazon.com/shop/thehillarystyle/list/3VW7VU2STCZ6B,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
43J6PJOVYKC9,$50 WINTER FASHION 142 Items,https://www.amazon.com/shop/thehillarystyle/list/43J6PJOVYKC9,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
76ENHDCP4NP1,See all,https://www.amazon.com/shop/thehillarystyle/list/76ENHDCP4NP1,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
81C70Z4U4BII,See all,https://www.amazon.com/shop/thehillarystyle/list/81C70Z4U4BII,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
97O81RWTU3TG,See all,https://www.amazon.com/shop/thehillarystyle/list/97O81RWTU3TG,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
9FXRQ038D494,See all,https://www.amazon.com/shop/thehillarystyle/list/9FXRQ038D494,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
B4MF8PKIS82A,See all,https://www.amazon.com/shop/thehillarystyle/list/B4MF8PKIS82A,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
BWHQ5TU85DA7,See all,https://www.amazon.com/shop/thehillarystyle/list/BWHQ5TU85DA7,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
C4VDLQZK7ACP,See all,https://www.amazon.com/shop/thehillarystyle/list/C4VDLQZK7ACP,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
CQQP654U5715,See all,https://www.amazon.com/shop/thehillarystyle/list/CQQP654U5715,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
DB6CKD297DDB,See all,https://www.amazon.com/shop/thehillarystyle/list/DB6CKD297DDB,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
DSS93TBPVRP5,See all,https://www.amazon.com/shop/thehillarystyle/list/DSS93TBPVRP5,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
EAQUVLIMTM7R,See all,https://www.amazon.com/shop/thehillarystyle/list/EAQUVLIMTM7R,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
EEJXEINH2736,SHOPBOP Favorites 10 Items,https://www.amazon.com/shop/thehillarystyle/list/EEJXEINH2736,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
F5Z67P4FFJC4,JANUARY Best Sellers 400 Items,https://www.amazon.com/shop/thehillarystyle/list/F5Z67P4FFJC4,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
FJAM99COX1K9,COFFEE BAR Essentials 33 Items,https://www.amazon.com/shop/thehillarystyle/list/FJAM99COX1K9,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
IE0BGUCCDZ8X,See all,https://www.amazon.com/shop/thehillarystyle/list/IE0BGUCCDZ8X,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
IRH0FVF815TU,See all,https://www.amazon.com/shop/thehillarystyle/list/IRH0FVF815TU,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
ITC144HBA2XS,CANDLE HOLDERS. CANDLE STICKS. 36 Items,https://www.amazon.com/shop/thehillarystyle/list/ITC144HBA2XS,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
J39K6QG9TPDR,CREATOR Favorites 15 Items,https://www.amazon.com/shop/thehillarystyle/list/J39K6QG9TPDR,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
J4MBZKLMALLQ,See all,https://www.amazon.com/shop/thehillarystyle/list/J4MBZKLMALLQ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
JI222AIPC2S,TOP SEPTEMBER DEALS 264 Items,https://www.amazon.com/shop/thehillarystyle/list/JI222AIPC2S,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
K1RZXTONZLT1,See all,https://www.amazon.com/shop/thehillarystyle/list/K1RZXTONZLT1,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
K3IDK9BPXYFW,LIGHTING - Designer Inspired 227 Items,https://www.amazon.com/shop/thehillarystyle/list/K3IDK9BPXYFW,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
K5H00QYC3R1G,April Amazon Live 75 Items,https://www.amazon.com/shop/thehillarystyle/list/K5H00QYC3R1G,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
KIGFVJQ0V3OW,My TOP Amazon Cleaning and Organizing 8 Items,https://www.amazon.com/shop/thehillarystyle/list/KIGFVJQ0V3OW,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
L3V3XJ5WT8SV,BATHROOM Essentials 194 Items,https://www.amazon.com/shop/thehillarystyle/list/L3V3XJ5WT8SV,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
M0U0DTYJP1BI,ENTRYWAY. FOYER. 32 Items,https://www.amazon.com/shop/thehillarystyle/list/M0U0DTYJP1BI,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
M615BEYW486F,Home UPGRADES 19 Items,https://www.amazon.com/shop/thehillarystyle/list/M615BEYW486F,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
O5BIFXCH5S3Y,See all,https://www.amazon.com/shop/thehillarystyle/list/O5BIFXCH5S3Y,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
O65RH2OR0EF3,See all,https://www.amazon.com/shop/thehillarystyle/list/O65RH2OR0EF3,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
OB8CSFU2LS6V,See all,https://www.amazon.com/shop/thehillarystyle/list/OB8CSFU2LS6V,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
OJUSIV7RIXZX,GIFTS UNDER $25 93 Items,https://www.amazon.com/shop/thehillarystyle/list/OJUSIV7RIXZX,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
PN4A9X7BMPFX,WINTER FASHION 219 Items,https://www.amazon.com/shop/thehillarystyle/list/PN4A9X7BMPFX,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
Q8UFO5D52NKD,See all,https://www.amazon.com/shop/thehillarystyle/list/Q8UFO5D52NKD,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
QWA0HLMH0ZPN,See all,https://www.amazon.com/shop/thehillarystyle/list/QWA0HLMH0ZPN,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
T9AHRYR4TO4W,Our SITTING ROOM 13 Items,https://www.amazon.com/shop/thehillarystyle/list/T9AHRYR4TO4W,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
V4V7ASEQMWKK,See all,https://www.amazon.com/shop/thehillarystyle/list/V4V7ASEQMWKK,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
VI6A3WXDHHDU,See all,https://www.amazon.com/shop/thehillarystyle/list/VI6A3WXDHHDU,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
VRW78IY69242,See all,https://www.amazon.com/shop/thehillarystyle/list/VRW78IY69242,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
WMCP8YLCXSCD,See all,https://www.amazon.com/shop/thehillarystyle/list/WMCP8YLCXSCD,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
WPS59NJ19M48,See all,https://www.amazon.com/shop/thehillarystyle/list/WPS59NJ19M48,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
WU8FIFLKC1R5,ELEVATED HOLIDAY FASHION 73 Items,https://www.amazon.com/shop/thehillarystyle/list/WU8FIFLKC1R5,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
YYM41OHGI1KQ,See all,https://www.amazon.com/shop/thehillarystyle/list/YYM41OHGI1KQ,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
ZN8TBHK35E0D,See all,https://www.amazon.com/shop/thehillarystyle/list/ZN8TBHK35E0D,no,Change include_in_meta to yes in config/idea_list_registry.csv to approve.
